2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2636:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2592 from Gitea
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2627:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 INFO     PR git:2604 skipped: No reviews by qam-openqa
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2590 from Gitea
2026-02-25 13:33:51 INFO     PR git:2601 skipped: No channels found
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2589 from Gitea
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2587 from Gitea
2026-02-25 13:33:51 INFO     PR git:2599 skipped: No reviews by qam-openqa
2026-02-25 13:33:51 INFO     PR git:2600 skipped: No reviews by qam-openqa
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2585 from Gitea
2026-02-25 13:33:51 INFO     PR git:2649: Some repos not published yet: SUSE:SLFO:1.2:PullRequest:2649:SLES:x86_64#16.0, SUSE:SLFO:1.2:PullRequest:2649:SLES:aarch64#16.0, SUSE:SLFO:1.2:PullRequest:2649:SLES:ppc64le#16.0, SUSE:SLFO:1.2:PullRequest:2649:SLES:s390x#16.0
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2581 from Gitea
2026-02-25 13:33:51 INFO     Skipping PR git:2649: Not all packages succeeded or published
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2578 from Gitea
2026-02-25 13:33:51 INFO     PR git:2605 skipped: No reviews by qam-openqa
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2577 from Gitea
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2576 from Gitea
2026-02-25 13:33:51 INFO     PR git:2602 skipped: No reviews by qam-openqa
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2573 from Gitea
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2609:SLES
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2567 from Gitea
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2566 from Gitea
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2563 from Gitea
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2609:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2561 from Gitea
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2560 from Gitea
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2589
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2558 from Gitea
2026-02-25 13:33:51 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2589:SL-Micro
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2557 from Gitea
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2556 from Gitea
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2554 from Gitea
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2550 from Gitea
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2548 from Gitea
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2542 from Gitea
2026-02-25 13:33:51 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2589:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2541 from Gitea
2026-02-25 13:33:51 DEBUG    Fetching info for PR git:2539 from Gitea
2026-02-25 13:33:52 DEBUG    Fetching info for PR git:2534 from Gitea
2026-02-25 13:33:52 DEBUG    Fetching info for PR git:2533 from Gitea
2026-02-25 13:33:52 DEBUG    Fetching info for PR git:2529 from Gitea
2026-02-25 13:33:52 DEBUG    Fetching info for PR git:2526 from Gitea
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2590
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2589:SLES
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2587
2026-02-25 13:33:52 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2589:SLES: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2590:SL-Micro
2026-02-25 13:33:52 INFO     PR git:2595 skipped: No reviews by qam-openqa
2026-02-25 13:33:52 DEBUG    Fetching info for PR git:2525 from Gitea
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2587:SL-Micro
2026-02-25 13:33:52 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2590:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:52 INFO     PR git:2597 skipped: No reviews by qam-openqa
2026-02-25 13:33:52 DEBUG    Fetching info for PR git:2520 from Gitea
2026-02-25 13:33:52 DEBUG    Relevant archs for SUSE:SLFO:1.2:PullRequest:2587:SL-Micro: ['aarch64', 'ppc64le', 's390x', 'x86_64']
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2567
2026-02-25 13:33:52 INFO     PR git:2594 skipped: No reviews by qam-openqa
2026-02-25 13:33:52 DEBUG    Fetching info for PR git:2519 from Gitea
2026-02-25 13:33:52 DEBUG    Checking OBS project SUSE:SLFO:1.2:PullRequest:2567:SL-Micro
